sample_name,cluster
HG01896,Africa.3
HG01897,Africa.3
HG01912,Africa.3
HG01914,Africa.3
HG01915,Africa.3
HG01916,Africa.3
HG01956,Africa.3
HG01958,Africa.3
HG01959,Africa.3
HG01960,Africa.3
HG01985,Africa.3
HG01986,Africa.3
HG01987,Africa.3
HG01988,Africa.3
HG01989,Africa.3
HG01990,Africa.3
HG02009,Africa.3
HG02010,Africa.3
HG02011,Africa.3
HG02012,Africa.3
HG02013,Africa.3
HG02014,Africa.3
HG02051,Africa.3
HG02052,Africa.3
HG02053,Africa.3
HG02054,Africa.3
HG02055,Africa.3
HG02095,Africa.3
HG02107,Africa.3
HG02108,Africa.3
HG02111,Africa.3
HG02143,Africa.3
HG02144,Africa.3
HG02145,Africa.3
HG02255,Africa.3
HG02256,Africa.3
HG02257,Africa.3
HG02280,Africa.3
HG02281,Africa.3
HG02282,Africa.3
HG02283,Africa.3
HG02284,Africa.3
HG02307,Africa.3
HG02308,Africa.3
HG02309,Africa.3
HG02314,Africa.3
HG02315,Africa.3
HG02316,Africa.3
HG02317,Africa.3
HG02318,Africa.3
HG02321,Africa.3
HG02322,Africa.3
HG02323,Africa.3
HG02325,Africa.3
HG02330,Africa.3
HG02332,Africa.3
HG02334,Africa.3
HG02337,Africa.3
HG02339,Africa.3
HG02343,Africa.3
HG02419,Africa.3
HG02420,Africa.3
HG02427,Africa.3
HG02429,Africa.3
HG02433,Africa.3
HG02439,Africa.3
HG02442,Africa.3
HG02445,Africa.3
HG02449,Africa.3
HG02450,Africa.3
HG02451,Africa.3
HG02455,Africa.3
HG02470,Africa.3
HG02471,Africa.3
HG02476,Africa.3
HG02477,Africa.3
HG02479,Africa.3
HG02481,Africa.3
HG02484,Africa.3
HG02485,Africa.3
HG02489,Africa.3
HG02496,Africa.3
HG02497,Africa.3
HG02501,Africa.3
HG02502,Africa.3
HG02505,Africa.3
HG02508,Africa.3
HG02511,Africa.3
HG02536,Africa.3
HG02537,Africa.3
HG02541,Africa.3
HG02545,Africa.3
HG02546,Africa.3
HG02549,Africa.3
HG02554,Africa.3
HG02555,Africa.3
HG02557,Africa.3
HG02558,Africa.3
HG02577,Africa.3
HG02580,Africa.3
NA19700,Africa.3
NA19701,Africa.3
NA19702,Africa.3
NA19703,Africa.3
NA19704,Africa.3
NA19705,Africa.3
NA19707,Africa.3
NA19711,Africa.3
NA19712,Africa.3
NA19713,Africa.3
NA19818,Africa.3
NA19819,Africa.3
NA19828,Africa.3
NA19834,Africa.3
NA19835,Africa.3
NA19836,Africa.3
NA19900,Africa.3
NA19901,Africa.3
NA19902,Africa.3
NA19904,Africa.3
NA19908,Africa.3
NA19909,Africa.3
NA19913,Africa.3
NA19914,Africa.3
NA19916,Africa.3
NA19917,Africa.3
NA19918,Africa.3
NA19919,Africa.3
NA19920,Africa.3
NA19921,Africa.3
NA19922,Africa.3
NA19923,Africa.3
NA19924,Africa.3
NA19982,Africa.3
NA19983,Africa.3
NA19984,Africa.3
NA20126,Africa.3
NA20127,Africa.3
NA20128,Africa.3
NA20129,Africa.3
NA20276,Africa.3
NA20278,Africa.3
NA20279,Africa.3
NA20281,Africa.3
NA20282,Africa.3
NA20287,Africa.3
NA20289,Africa.3
NA20291,Africa.3
NA20294,Africa.3
NA20296,Africa.3
NA20298,Africa.3
NA20317,Africa.3
NA20318,Africa.3
NA20320,Africa.3
NA20321,Africa.3
NA20332,Africa.3
NA20334,Africa.3
NA20339,Africa.3
NA20340,Africa.3
NA20342,Africa.3
NA20346,Africa.3
NA20348,Africa.3
NA20351,Africa.3
NA20355,Africa.3
NA20356,Africa.3
NA20357,Africa.3
NA20358,Africa.3
NA20359,Africa.3
NA20362,Africa.3
NA20412,Africa.3
HG03052,Africa.3
HG03054,Africa.3
HG03055,Africa.3
HG03056,Africa.3
HG03057,Africa.3
HG03058,Africa.3
HG03060,Africa.3
HG03061,Africa.3
HG03063,Africa.3
HG03064,Africa.3
HG03066,Africa.3
HG03069,Africa.3
HG03072,Africa.3
HG03073,Africa.3
HG03074,Africa.3
HG03077,Africa.3
HG03078,Africa.3
HG03079,Africa.3
HG03081,Africa.3
HG03082,Africa.3
HG03084,Africa.3
HG03085,Africa.3
HG03086,Africa.3
HG03088,Africa.3
HG03091,Africa.3
HG03095,Africa.3
HG03096,Africa.3
HG03097,Africa.3
HG03098,Africa.3
HG03209,Africa.3
HG03212,Africa.3
HG03224,Africa.3
HG03225,Africa.3
HG03376,Africa.3
HG03378,Africa.3
HG03380,Africa.3
HG03382,Africa.3
HG03385,Africa.3
HG03388,Africa.3
HG03391,Africa.3
HG03394,Africa.3
HG03397,Africa.3
HG03401,Africa.3
HG03410,Africa.3
HG03419,Africa.3
HG03428,Africa.3
HG03432,Africa.3
HG03433,Africa.3
HG03436,Africa.3
HG03437,Africa.3
HG03438,Africa.3
HG03439,Africa.3
HG03442,Africa.3
HG03445,Africa.3
HG03446,Africa.3
HG03449,Africa.3
HG03451,Africa.3
HG03452,Africa.3
HG03453,Africa.3
HG03454,Africa.3
HG03455,Africa.3
HG03456,Africa.3
HG03457,Africa.3
HG03458,Africa.3
HG03460,Africa.3
HG03461,Africa.3
HG03464,Africa.3
HG03469,Africa.3
HG03470,Africa.3
HG03472,Africa.3
HG03473,Africa.3
HG03476,Africa.3
HG03478,Africa.3
HG03479,Africa.3
HG03480,Africa.3
HG03484,Africa.3
HG03485,Africa.3
HG03486,Africa.3
HG03547,Africa.3
HG03548,Africa.3
HG03556,Africa.3
HG03557,Africa.3
HG03558,Africa.3
HG03559,Africa.3
HG03563,Africa.3
HG03565,Africa.3
HG03567,Africa.3
HG03571,Africa.3
HG03572,Africa.3
HG03574,Africa.3
HG03575,Africa.3
HG03576,Africa.3
HG03577,Africa.3
HG03578,Africa.3
HG03579,Africa.3
HG03582,Africa.3
HG03583,Africa.3
HG01107,Africa.3
HG01108,Africa.3
HG01109,Africa.3
HG01241,Africa.3
HG01242,Africa.3
HG01243,Africa.3
HGDP01419,Africa_middle_east
HGDP01199,Africa_middle_east
HGDP00931,Africa_middle_east
HGDP00462,Africa_middle_east
Ayodo_81S,Africa_middle_east
HGDP00621,Africa_middle_east
HGDP00944,Africa_middle_east
HGDP00907,Africa_middle_east
HGDP00994,Africa_middle_east
HGDP00479,Africa_middle_east
HGDP00991,Africa_middle_east
HGDP00913,Africa_middle_east
HGDP01031,Africa_middle_east
HGDP00916,Africa_middle_east
