Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG01250,SAME125281,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00554,SAME123969,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00651,SAME123966,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00559,SAME124248,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00656,SAME123233,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00561,SAME124455,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00663,SAME123813,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00566,SAME125048,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00675,SAME1840076,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00578,SAME123528,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00694,SAME123154,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00580,SAME124832,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00699,SAME123165,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00585,SAME124722,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00702,SAME122934,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00707,SAME122929,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00732,SAME125396,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00593,SAME125012,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00737,SAME125416,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00598,SAME1839713,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00864,SAME123547,CDX,CDX,Dai Chinese,"Chinese Dai in Xishuangbanna, China",East Asia,22.0,100.78,#008000
HG00613,SAME125196,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00650,SAME123254,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00620,SAME123081,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00655,SAME123257,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00625,SAME123080,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00662,SAME123812,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00632,SAME1839151,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00674,SAME1840080,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00637,SAME123710,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00693,SAME123683,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01089,SAME1839432,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00698,SAME123693,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01096,SAME123776,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00701,SAME122931,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01104,SAME123672,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG00706,SAME122930,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01109,SAME123669,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
